GunLawStrengthRank,State
36,Alabama
44,Alaska
47,Arizona
39,Arkansas
1,California
15,Colorado
3,Connecticut
11,Delaware
26,Florida
32,Georgia
7,Hawaii
46,Idaho
8,Illinois
23,Indiana
18,Iowa
48,Kansas
42,Kentucky
43,Louisiana
35,Maine
6,Maryland
4,Massachusetts
16,Michigan
12,Minnesota
50,Mississippi
48,Missouri
37,Montana
19,Nebraska
22,Nevada
31,New Hampshire
2,New Jersey
29,New Mexico
5,New York
25,North Carolina
37,North Dakota
21,Ohio
27,Oklahoma
14,Oregon
13,Pennsylvania
9,Rhode Island
29,South Carolina
40,South Dakota
24,Tennessee
32,Texas
27,Utah
41,Vermont
20,Virginia
10,Washington
32,West Virginia
17,Wisconsin
45,Wyoming
